car_name,cyl,yr,origin,mpg,disp,wt,acc,hp
dodge colt,4,76,1,26.0,98.0,2255,17.7,79.0
renault 12tl,4,76,2,27.0,101.0,2202,15.3,83.0
chevrolet chevelle malibu classic,8,76,1,17.5,305.0,4215,13.0,140.0
dodge coronet brougham,8,76,1,16.0,318.0,4190,13.0,150.0
amc matador,8,76,1,15.5,304.0,3962,13.9,120.0
ford gran torino,8,76,1,14.5,351.0,4215,12.8,152.0
plymouth valiant,6,76,1,22.0,225.0,3233,15.4,100.0
chevrolet nova,6,76,1,22.0,250.0,3353,14.5,105.0
ford maverick,6,76,1,24.0,200.0,3012,17.6,81.0
amc hornet,6,76,1,22.5,232.0,3085,17.6,90.0
chevrolet chevette,4,76,1,29.0,85.0,2035,22.2,52.0
chevrolet woody,4,76,1,24.5,98.0,2164,22.1,60.0
vw rabbit,4,76,2,29.0,90.0,1937,14.2,70.0
honda civic,4,76,3,33.0,91.0,1795,17.4,53.0
dodge aspen se,6,76,1,20.0,225.0,3651,17.7,100.0
ford granada ghia,6,76,1,18.0,250.0,3574,21.0,78.0
pontiac ventura sj,6,76,1,18.5,250.0,3645,16.2,110.0
amc pacer d/l,6,76,1,17.5,258.0,3193,17.8,95.0
volkswagen rabbit,4,76,2,29.5,97.0,1825,12.2,71.0
datsun b-210,4,76,3,32.0,85.0,1990,17.0,70.0
toyota corolla,4,76,3,28.0,97.0,2155,16.4,75.0
ford pinto,4,76,1,26.5,140.0,2565,13.6,72.0
volvo 245,4,76,2,20.0,130.0,3150,15.7,102.0
plymouth volare premier v8,8,76,1,13.0,318.0,3940,13.2,150.0
peugeot 504,4,76,2,19.0,120.0,3270,21.9,88.0
toyota mark ii,6,76,3,19.0,156.0,2930,15.5,108.0
mercedes-benz 280s,6,76,2,16.5,168.0,3820,16.7,120.0
cadillac seville,8,76,1,16.5,350.0,4380,12.1,180.0
chevy c10,8,76,1,13.0,350.0,4055,12.0,145.0
ford f108,8,76,1,13.0,302.0,3870,15.0,130.0
dodge d100,8,76,1,13.0,318.0,3755,14.0,150.0
honda accord cvcc,4,77,3,31.5,98.0,2045,18.5,68.0
buick opel isuzu deluxe,4,77,1,30.0,111.0,2155,14.8,80.0
renault 5 gtl,4,77,2,36.0,79.0,1825,18.6,58.0
plymouth arrow gs,4,77,1,25.5,122.0,2300,15.5,96.0
datsun f-10 hatchback,4,77,3,33.5,85.0,1945,16.8,70.0
chevrolet caprice classic,8,77,1,17.5,305.0,3880,12.5,145.0
oldsmobile cutlass supreme,8,77,1,17.0,260.0,4060,19.0,110.0
dodge monaco brougham,8,77,1,15.5,318.0,4140,13.7,145.0
mercury cougar brougham,8,77,1,15.0,302.0,4295,14.9,130.0
chevrolet concours,6,77,1,17.5,250.0,3520,16.4,110.0
buick skylark,6,77,1,20.5,231.0,3425,16.9,105.0
plymouth volare custom,6,77,1,19.0,225.0,3630,17.7,100.0
ford granada,6,77,1,18.5,250.0,3525,19.0,98.0
pontiac grand prix lj,8,77,1,16.0,400.0,4220,11.1,180.0
chevrolet monte carlo landau,8,77,1,15.5,350.0,4165,11.4,170.0
chrysler cordoba,8,77,1,15.5,400.0,4325,12.2,190.0
ford thunderbird,8,77,1,16.0,351.0,4335,14.5,149.0
volkswagen rabbit custom,4,77,2,29.0,97.0,1940,14.5,78.0
pontiac sunbird coupe,4,77,1,24.5,151.0,2740,16.0,88.0
toyota corolla liftback,4,77,3,26.0,97.0,2265,18.2,75.0
ford mustang ii 2+2,4,77,1,25.5,140.0,2755,15.8,89.0
chevrolet chevette,4,77,1,30.5,98.0,2051,17.0,63.0
dodge colt m/m,4,77,1,33.5,98.0,2075,15.9,83.0
subaru dl,4,77,3,30.0,97.0,1985,16.4,67.0
volkswagen dasher,4,77,2,30.5,97.0,2190,14.1,78.0
datsun 810,6,77,3,22.0,146.0,2815,14.5,97.0
bmw 320i,4,77,2,21.5,121.0,2600,12.8,110.0
mazda rx-4,3,77,3,21.5,80.0,2720,13.5,110.0
volkswagen rabbit custom diesel,4,78,2,43.1,90.0,1985,21.5,48.0
ford fiesta,4,78,1,36.1,98.0,1800,14.4,66.0
mazda glc deluxe,4,78,3,32.8,78.0,1985,19.4,52.0
datsun b210 gx,4,78,3,39.4,85.0,2070,18.6,70.0
honda civic cvcc,4,78,3,36.1,91.0,1800,16.4,60.0
oldsmobile cutlass salon brougham,8,78,1,19.9,260.0,3365,15.5,110.0
dodge diplomat,8,78,1,19.4,318.0,3735,13.2,140.0
mercury monarch ghia,8,78,1,20.2,302.0,3570,12.8,139.0
pontiac phoenix lj,6,78,1,19.2,231.0,3535,19.2,105.0
chevrolet malibu,6,78,1,20.5,200.0,3155,18.2,95.0
ford fairmont (auto),6,78,1,20.2,200.0,2965,15.8,85.0
ford fairmont (man),4,78,1,25.1,140.0,2720,15.4,88.0
plymouth volare,6,78,1,20.5,225.0,3430,17.2,100.0
amc concord,6,78,1,19.4,232.0,3210,17.2,90.0
buick century special,6,78,1,20.6,231.0,3380,15.8,105.0
mercury zephyr,6,78,1,20.8,200.0,3070,16.7,85.0
dodge aspen,6,78,1,18.6,225.0,3620,18.7,110.0
amc concord d/l,6,78,1,18.1,258.0,3410,15.1,120.0
chevrolet monte carlo landau,8,78,1,19.2,305.0,3425,13.2,145.0
buick regal sport coupe (turbo),6,78,1,17.7,231.0,3445,13.4,165.0
ford futura,8,78,1,18.1,302.0,3205,11.2,139.0
dodge magnum xe,8,78,1,17.5,318.0,4080,13.7,140.0
chevrolet chevette,4,78,1,30.0,98.0,2155,16.5,68.0
toyota corona,4,78,3,27.5,134.0,2560,14.2,95.0
datsun 510,4,78,3,27.2,119.0,2300,14.7,97.0
dodge omni,4,78,1,30.9,105.0,2230,14.5,75.0
toyota celica gt liftback,4,78,3,21.1,134.0,2515,14.8,95.0
plymouth sapporo,4,78,1,23.2,156.0,2745,16.7,105.0
oldsmobile starfire sx,4,78,1,23.8,151.0,2855,17.6,85.0
datsun 200-sx,4,78,3,23.9,119.0,2405,14.9,97.0
audi 5000,5,78,2,20.3,131.0,2830,15.9,103.0
volvo 264gl,6,78,2,17.0,163.0,3140,13.6,125.0
saab 99gle,4,78,2,21.6,121.0,2795,15.7,115.0
peugeot 604sl,6,78,2,16.2,163.0,3410,15.8,133.0
volkswagen scirocco,4,78,2,31.5,89.0,1990,14.9,71.0
honda accord lx,4,78,3,29.5,98.0,2135,16.6,68.0
pontiac lemans v6,6,79,1,21.5,231.0,3245,15.4,115.0
mercury zephyr 6,6,79,1,19.8,200.0,2990,18.2,85.0
ford fairmont 4,4,79,1,22.3,140.0,2890,17.3,88.0
amc concord dl 6,6,79,1,20.2,232.0,3265,18.2,90.0
dodge aspen 6,6,79,1,20.6,225.0,3360,16.6,110.0
chevrolet caprice classic,8,79,1,17.0,305.0,3840,15.4,130.0
ford ltd landau,8,79,1,17.6,302.0,3725,13.4,129.0
mercury grand marquis,8,79,1,16.5,351.0,3955,13.2,138.0
dodge st. regis,8,79,1,18.2,318.0,3830,15.2,135.0
buick estate wagon (sw),8,79,1,16.9,350.0,4360,14.9,155.0
ford country squire (sw),8,79,1,15.5,351.0,4054,14.3,142.0
chevrolet malibu classic (sw),8,79,1,19.2,267.0,3605,15.0,125.0
chrysler lebaron town @ country (sw),8,79,1,18.5,360.0,3940,13.0,150.0
vw rabbit custom,4,79,2,31.9,89.0,1925,14.0,71.0
maxda glc deluxe,4,79,3,34.1,86.0,1975,15.2,65.0
dodge colt hatchback custom,4,79,1,35.7,98.0,1915,14.4,80.0
amc spirit dl,4,79,1,27.4,121.0,2670,15.0,80.0
mercedes benz 300d,5,79,2,25.4,183.0,3530,20.1,77.0
cadillac eldorado,8,79,1,23.0,350.0,3900,17.4,125.0
peugeot 504,4,79,2,27.2,141.0,3190,24.8,71.0
oldsmobile cutlass salon brougham,8,79,1,23.9,260.0,3420,22.2,90.0
plymouth horizon,4,79,1,34.2,105.0,2200,13.2,70.0
plymouth horizon tc3,4,79,1,34.5,105.0,2150,14.9,70.0
datsun 210,4,79,3,31.8,85.0,2020,19.2,65.0
fiat strada custom,4,79,2,37.3,91.0,2130,14.7,69.0
buick skylark limited,4,79,1,28.4,151.0,2670,16.0,90.0
chevrolet citation,6,79,1,28.8,173.0,2595,11.3,115.0
oldsmobile omega brougham,6,79,1,26.8,173.0,2700,12.9,115.0
pontiac phoenix,4,79,1,33.5,151.0,2556,13.2,90.0
vw rabbit,4,80,2,41.5,98.0,2144,14.7,76.0
toyota corolla tercel,4,80,3,38.1,89.0,1968,18.8,60.0
chevrolet chevette,4,80,1,32.1,98.0,2120,15.5,70.0
datsun 310,4,80,3,37.2,86.0,2019,16.4,65.0
chevrolet citation,4,80,1,28.0,151.0,2678,16.5,90.0
ford fairmont,4,80,1,26.4,140.0,2870,18.1,88.0
amc concord,4,80,1,24.3,151.0,3003,20.1,90.0
dodge aspen,6,80,1,19.1,225.0,3381,18.7,90.0
audi 4000,4,80,2,34.3,97.0,2188,15.8,78.0
toyota corona liftback,4,80,3,29.8,134.0,2711,15.5,90.0
mazda 626,4,80,3,31.3,120.0,2542,17.5,75.0
datsun 510 hatchback,4,80,3,37.0,119.0,2434,15.0,92.0
toyota corolla,4,80,3,32.2,108.0,2265,15.2,75.0
mazda glc,4,80,3,46.6,86.0,2110,17.9,65.0
dodge colt,4,80,1,27.9,156.0,2800,14.4,105.0
datsun 210,4,80,3,40.8,85.0,2110,19.2,65.0
vw rabbit c (diesel),4,80,2,44.3,90.0,2085,21.7,48.0
vw dasher (diesel),4,80,2,43.4,90.0,2335,23.7,48.0
audi 5000s (diesel),5,80,2,36.4,121.0,2950,19.9,67.0
mercedes-benz 240d,4,80,2,30.0,146.0,3250,21.8,67.0
honda civic 1500 gl,4,80,3,44.6,91.0,1850,13.8,67.0
renault lecar deluxe,4,80,2,40.9,85.0,1835,17.3,93.5
subaru dl,4,80,3,33.8,97.0,2145,18.0,67.0
vokswagen rabbit,4,80,2,29.8,89.0,1845,15.3,62.0
datsun 280-zx,6,80,3,32.7,168.0,2910,11.4,132.0
mazda rx-7 gs,3,80,3,23.7,70.0,2420,12.5,100.0
triumph tr7 coupe,4,80,2,35.0,122.0,2500,15.1,88.0
ford mustang cobra,4,80,1,23.6,140.0,2905,14.3,93.5
honda accord,4,80,3,32.4,107.0,2290,17.0,72.0
plymouth reliant,4,81,1,27.2,135.0,2490,15.7,84.0
buick skylark,4,81,1,26.6,151.0,2635,16.4,84.0
dodge aries wagon (sw),4,81,1,25.8,156.0,2620,14.4,92.0
chevrolet citation,6,81,1,23.5,173.0,2725,12.6,110.0
plymouth reliant,4,81,1,30.0,135.0,2385,12.9,84.0
toyota starlet,4,81,3,39.1,79.0,1755,16.9,58.0
plymouth champ,4,81,1,39.0,86.0,1875,16.4,64.0
honda civic 1300,4,81,3,35.1,81.0,1760,16.1,60.0
subaru,4,81,3,32.3,97.0,2065,17.8,67.0
datsun 210 mpg,4,81,3,37.0,85.0,1975,19.4,65.0
toyota tercel,4,81,3,37.7,89.0,2050,17.3,62.0
mazda glc 4,4,81,3,34.1,91.0,1985,16.0,68.0
plymouth horizon 4,4,81,1,34.7,105.0,2215,14.9,63.0
ford escort 4w,4,81,1,34.4,98.0,2045,16.2,65.0
ford escort 2h,4,81,1,29.9,98.0,2380,20.7,65.0
volkswagen jetta,4,81,2,33.0,105.0,2190,14.2,74.0
renault 18i,4,81,2,34.5,100.0,2320,15.8,93.5
honda prelude,4,81,3,33.7,107.0,2210,14.4,75.0
toyota corolla,4,81,3,32.4,108.0,2350,16.8,75.0
datsun 200sx,4,81,3,32.9,119.0,2615,14.8,100.0
mazda 626,4,81,3,31.6,120.0,2635,18.3,74.0
peugeot 505s turbo diesel,4,81,2,28.1,141.0,3230,20.4,80.0
volvo diesel,6,81,2,30.7,145.0,3160,19.6,76.0
toyota cressida,6,81,3,25.4,168.0,2900,12.6,116.0
datsun 810 maxima,6,81,3,24.2,146.0,2930,13.8,120.0
buick century,6,81,1,22.4,231.0,3415,15.8,110.0
oldsmobile cutlass ls,8,81,1,26.6,350.0,3725,19.0,105.0
ford granada gl,6,81,1,20.2,200.0,3060,17.1,88.0
chrysler lebaron salon,6,81,1,17.6,225.0,3465,16.6,85.0
chevrolet cavalier,4,82,1,28.0,112.0,2605,19.6,88.0
chevrolet cavalier wagon,4,82,1,27.0,112.0,2640,18.6,88.0
chevrolet cavalier 2-door,4,82,1,34.0,112.0,2395,18.0,88.0
pontiac j2000 se hatchback,4,82,1,31.0,112.0,2575,16.2,85.0
dodge aries se,4,82,1,29.0,135.0,2525,16.0,84.0
pontiac phoenix,4,82,1,27.0,151.0,2735,18.0,90.0
ford fairmont futura,4,82,1,24.0,140.0,2865,16.4,92.0
amc concord dl,4,82,1,23.0,151.0,3035,20.5,93.5
volkswagen rabbit l,4,82,2,36.0,105.0,1980,15.3,74.0
mazda glc custom l,4,82,3,37.0,91.0,2025,18.2,68.0
mazda glc custom,4,82,3,31.0,91.0,1970,17.6,68.0
plymouth horizon miser,4,82,1,38.0,105.0,2125,14.7,63.0
mercury lynx l,4,82,1,36.0,98.0,2125,17.3,70.0
nissan stanza xe,4,82,3,36.0,120.0,2160,14.5,88.0
honda accord,4,82,3,36.0,107.0,2205,14.5,75.0
toyota corolla,4,82,3,34.0,108.0,2245,16.9,70.0
honda civic,4,82,3,38.0,91.0,1965,15.0,67.0
honda civic (auto),4,82,3,32.0,91.0,1965,15.7,67.0
datsun 310 gx,4,82,3,38.0,91.0,1995,16.2,67.0
buick century limited,6,82,1,25.0,181.0,2945,16.4,110.0
oldsmobile cutlass ciera (diesel),6,82,1,38.0,262.0,3015,17.0,85.0
chrysler lebaron medallion,4,82,1,26.0,156.0,2585,14.5,92.0
ford granada l,6,82,1,22.0,232.0,2835,14.7,112.0
toyota celica gt,4,82,3,32.0,144.0,2665,13.9,96.0
dodge charger 2.2,4,82,1,36.0,135.0,2370,13.0,84.0
chevrolet camaro,4,82,1,27.0,151.0,2950,17.3,90.0
ford mustang gl,4,82,1,27.0,140.0,2790,15.6,86.0
vw pickup,4,82,2,44.0,97.0,2130,24.6,52.0
dodge rampage,4,82,1,32.0,135.0,2295,11.6,84.0
ford ranger,4,82,1,28.0,120.0,2625,18.6,79.0
chevy s-10,4,82,1,31.0,119.0,2720,19.4,82.0
